"wl.1","X1.1","X2.1","X3.1","X4.1","X5.1","X6.1","X7.1","X8.1","X9.1","X10.1","X11.1","X12.1","X13.1","X14.1","X15.1","X16.1","X17.1","X18.1","X19.1","X20.1","X21.1","X22.1"
300,2.55738209406247,4.26439056052228,5.63808395064914,2.64542621325723,1.97338398685864,1.34641006370215,4.3655783166003,2.07277251477247,1.68136922753804,2.91198582553568,1.97559160444616,1.45397402988916,2.3858312739362,2.60338548324944,1.97964212026813,2.9336408261343,4.76666582365527,5.2095164535044,3.4966562500131,4.75266419384762,3.16297871015913,2.16932693238308
301,2.56187881187381,4.24661055833981,5.70984940529926,2.63438472339449,1.99474154015136,1.34770137757459,4.42054440984116,2.09094974653413,1.67525985057127,2.90178627642615,1.98080141286426,1.4777166151869,2.40494152086446,2.63015083382237,1.99324944205941,2.98453994303699,4.7352407641682,5.18745643251283,3.46747910813647,4.74100186974522,3.1699115762572,2.16534595613364
302,2.56681190489801,4.22923985658469,5.78034274648482,2.62363279674543,2.01602822708389,1.34959853025197,4.47402630339744,2.10880009484105,1.66931408178826,2.89215034460097,1.9859818872346,1.50205858247205,2.42409445077375,2.65664766537223,2.0072002150146,3.03504938197155,4.70530960158672,5.16640203543565,3.43906479432085,4.7298077568983,3.17703904979481,2.16151930939778
303,2.57221625144352,4.21229746238796,5.84962247511661,2.61318665634209,2.03726846601795,1.35213521316957,4.52603897604042,2.1263411928004,1.66352887271862,2.88311087578337,1.9910955594706,1.52709055070758,2.44334996077707,2.68288435422465,2.02155058236977,3.08524739321075,4.67692141122838,5.1479098141141,3.41142364051785,4.71913362814972,3.18438806202801,2.15785414041473
304,2.57812672981879,4.19580238288064,5.9177470921054,2.60306252521651,2.05848667531525,1.35534511776263,4.57659740654139,2.1435906735193,1.65790117489195,2.87470071569657,1.99610496148571,1.55290313885645,2.4627679479874,2.70886927670526,2.03635668736098,3.13521222702734,4.65012526841071,5.13318230492718,3.38456597867905,4.70903125634236,3.19198554421281,2.15435759742367
305,2.58457821833226,4.17977362519378,5.98477509836196,2.5932766264007,2.07970727333751,1.3592619354664,4.62571657367165,2.16056617010492,1.65242793983785,2.86695271006381,2.00097262519336,1.57958696588162,2.48240830951773,2.73461080913968,2.05167467322431,3.18502213369407,4.62497024845127,5.1195807509642,3.35850214075607,4.69955241431906,3.19985842760522,2.1510368286638
306,2.5916055952924,4.1642301964584,6.05076499479707,2.58384518292672,2.10095467844644,1.36391935771614,4.67341145620249,2.17728531566438,1.64710611908595,2.85989970460832,2.005661082507,1.60723265074606,2.50233094248104,2.76011732785355,2.06756068319582,3.2347553634837,4.6015054266676,5.10714801311007,3.3332424587005,4.69074887492271,3.20803364346129,2.14789898237434
307,2.59924373900763,4.14919110380554,6.1157752823215,2.5747844178266,2.12225330900377,1.3693510759471,4.71969703290519,2.19376574330484,1.64193266416584,2.85357454505333,2.01013286534007,1.63593081241271,2.52259574399034,2.78539720917249,2.0840708605116,3.28449016666898,4.57977987837725,5.09592695224975,3.30879726446393,4.68267241099618,3.21653812303702,2.14495120679448
308,2.60752752778643,4.13467535436624,6.17986446184602,2.56611055413237,2.1436275833712,1.37559078159453,4.76458828255106,2.21002508613344,1.63690452660713,2.84801007712207,2.014350505606,1.66577206984456,2.5432626111586,2.81045882942213,2.1012613484077,3.33430479352266,4.55984267889776,5.08596042926815,3.28517688999797,4.67537479538231,3.22539879758845,2.14220065016343
309,2.61649183993723,4.12070195527153,6.24309103428142,2.55783981487606,2.16510191991046,1.3826721660937,4.80810018391137,2.22608097725732,1.63201865793943,2.84323914653777,2.01827653521823,1.69684704200454,2.56439144109882,2.8353105649281,2.1191882901202,3.3842774943175,4.54174290354668,5.07729130505021,3.26239166725422,4.668907800924,3.23464259837159,2.13965446072038
310,2.62617155376848,4.10728991365244,6.30551350053846,2.54998842308972,2.18670073698326,1.39062892087984,4.85024771575743,2.24195104978363,1.62727200969234,2.83929459902365,2.02187348609021,1.72924634785564,2.58604213092399,2.85996079201603,2.13790782888516,3.43448651932624,4.52552962764155,5.06996244048085,3.24045192818428,4.66332320046409,3.24429645664247,2.13731978670454
311,2.63660154758863,4.09445823664001,6.36719036152792,2.54257260180538,2.20844845295131,1.39949473738822,4.89104585686052,2.2576529368195,1.62266153339547,2.83620928030296,2.02510389013536,1.76306060636081,2.60827457774709,2.88441788701155,2.15747610793867,3.48501011882165,4.51125192649993,5.06401669644502,3.21936800473974,4.65867276684546,3.25438730365711,2.1352037763551
312,2.64781669970613,4.08222593136527,6.42818011816057,2.53560857405507,2.23036948617634,1.40930330705409,4.93050958599194,2.27320427147209,1.61818418057843,2.83401603609892,2.02793027926714,1.79838043648301,2.63114867868111,2.90869022624028,2.17794927051678,3.53592654307648,4.49895887543935,5.05949693382764,3.19915022887221,4.65500827291098,3.26494207067154,2.13331357791128
313,2.65985387225709,4.07063782878933,6.48848137755454,2.52906420340658,2.25248307354509,1.4201098897869,4.96861170619201,2.28862795530595,1.61384611242326,2.83273345927985,2.03032566053121,1.83533095739889,2.6547383489488,2.93277283153418,2.19939704958697,3.58728660768034,4.4887419429932,5.05645299192058,3.17986046386978,4.65241976619392,3.27601533623563,2.13167535654027
314,2.672682159559,4.05969777299509,6.54799252392018,2.52288539912488,2.27476249281206,1.43190179459539,5.00530414704316,2.3039124654102,1.6096573966501,2.83231993905524,2.03233244652662,1.87385763948492,2.67900100924029,2.9566455096192,2.2217795226082,3.63899622328079,4.48059040258625,5.05485154565901,3.16153114208293,4.65088904030844,3.28760545815042,2.13029807949859
315,2.68623478819239,4.0493632907963,6.60662172380662,2.51705545278779,2.29716322364058,1.44461078656373,5.04057057712984,2.31902379817886,1.60562084459572,2.83271801566002,2.03401727749689,1.9137816285038,2.70382181486963,2.98029381416197,2.2449883495538,3.69091628273745,4.47440003687315,5.05461070939275,3.14412844905681,4.6503054872187,3.29965503654869,2.12916309815951
316,2.70044498473781,4.03959190900668,6.66427714376299,2.5115576559731,2.31964074569399,1.45816863077612,5.07439466503649,2.33392795000595,1.60173926759688,2.83387022932915,2.03544679368551,1.95492407021823,2.72908592115089,3.00370329882915,2.26891519039711,3.74290767890998,4.47006662850856,5.05564859747165,3.1276185703366,4.65055849888886,3.31210667156321,2.12825176389626
317,2.71524597577579,4.03034115444,6.7208669503384,2.50637530025864,2.34215053863565,1.47250709231672,5.10676007934755,2.34859091728546,1.59801547699035,2.83571912029758,2.036687635336,1.99710611039091,2.7546784833981,3.02685951728737,2.29345170511146,3.794831304658,4.46748596014712,5.05788332424555,3.11196769146746,4.65153746728309,3.32490296332678,2.12754542808208
318,2.73057098788687,4.02156855390997,6.77629931008198,2.5014916772222,2.36464808212888,1.48755793626972,5.13765048864747,2.36297869641142,1.5944522841129,2.83820722880025,2.03780644269187,2.04014889478454,2.78048465692533,3.04974802320327,2.3184895536702,3.84654805284115,4.46655381444349,5.06123300406431,3.09714199799456,4.65313178436555,3.33798651197216,2.12702544209022
319,2.74635324765158,4.01323163423036,6.83048238954285,2.4968900784416,2.38708885583704,1.50325292771928,5.1670495615207,2.37705728377784,1.59105250030129,2.8412770950721,2.03886985599662,2.08387356916182,2.80638959704663,3.07235437024349,2.34392039604664,3.89791881631908,4.46716597405231,5.06561575127775,3.08310767546306,4.65523084210042,3.35129991763213,2.1266731572939
320,2.76252598165048,4.00528792221489,6.88332435527014,2.49255379549465,2.40942833942347,1.5195238317496,5.19494096655167,2.39079267577872,1.5878189368923,2.8448712593481,2.03994451549376,2.12810127928546,2.83227845907607,3.09466411207467,2.36963589221413,3.94880448795142,4.46921822162824,5.07094968023573,3.06983090941812,4.65772403245185,3.36478578043948,2.12646992506639
321,2.77902241646408,3.99769494467731,6.93473337381297,2.48846611995914,2.4316220125515,1.53630241344484,5.22130837232484,2.40415086880809,1.58475440522268,2.84893226186317,2.0410970614268,2.17265317091815,2.85803639832768,3.11666280236345,2.39552770214601,3.9990659605978,4.47260633982593,5.07715290528808,3.05727788540492,4.660500747384,3.37838670052699,2.12639709678091
322,2.79577577867293,3.99041022843135,6.98461761172046,2.4846103434129,2.45362535488448,1.55352043788919,5.24613544742464,2.41709785925995,1.58186171662922,2.85340264285228,2.04239413403924,2.21735038982259,2.88354857011553,3.13833599477648,2.42148748581559,4.04856412711787,4.47722611130002,5.08414354078464,3.04541478896862,4.66345037886105,3.39204527802742,2.1264360238107
323,2.81271929485758,3.98339130029077,7.03288523554174,2.48096975743373,2.47539384608575,1.57110967016682,5.26940586043552,2.42959964352832,1.57914368244866,2.85822494255036,2.04390237357459,2.26201408176149,2.90870012975368,3.15966924298039,2.44740690319622,4.09715988037127,4.48297331870517,5.09183970107527,3.03420780565437,4.66646231884716,3.40570411307357,2.12656805752902
324,2.82978619159855,3.97659568706929,7.07944441182592,2.47752765359944,2.49688296581865,1.58900187536192,5.29110327994192,2.4416222180072,1.57660311401778,2.86334170119237,2.04568842027636,2.30646539249754,2.93337623255617,3.18064810064182,2.47317761426124,4.14471411321762,4.48974374469603,5.10015950050981,3.02362312100736,4.6694259593065,3.41930580579821,2.12677454930909
325,2.84690969547638,3.96998091558066,7.12420330712214,2.47426732348784,2.51804819374652,1.60712881855866,5.31121137452829,2.45313157909062,1.57424282267335,2.86869545901326,2.04781891438806,2.35052546779345,2.95746203383707,3.20125812142742,2.49869127898397,4.19108771851657,4.49743317192725,5.10902105343809,3.01362692057274,4.67223069220322,3.43279295633411,2.12703685052417
326,2.86500187289894,3.96408809147751,7.16924653690482,2.47195238935691,2.53956859186423,1.6264902142315,5.33029786935573,2.46479330680002,1.57201763337334,2.87532329744841,2.04926996520311,2.39666892146824,2.98274191845177,3.22167630475891,2.52576328544833,4.23876121533332,4.50730929607127,5.1199690656397,3.00447870732082,4.67615891675787,3.44690207971482,2.12747747805096
327,2.88484445630444,3.95938000810682,7.21628438834085,2.47119117260741,2.56201921916922,1.64793325967084,5.34881928342408,2.47715961611066,1.56989169975342,2.88408973427785,2.04917999694517,2.44700596235801,3.01071913886703,3.24206249263752,2.55591672584999,4.28980643108722,4.52046978780179,5.13428833150571,2.99641859050816,4.68233396476827,3.46226456797641,2.12821208847549
328,2.90617517131893,3.9556967238239,7.26466353551804,2.47173401353132,2.5851995508287,1.67116094418473,5.36659247607594,2.49002645584721,1.56788182616686,2.89467846425345,2.04785912225304,2.50081112875111,3.04085715181392,3.26237650259917,2.58860481632989,4.34347122116916,4.53655539227531,5.15150709830313,2.98938366510927,4.69040662706449,3.47866533675544,2.12921174273501
329,2.92873174356849,3.95287829698406,7.31373065252421,2.47333125242061,2.60890906200989,1.69587625708125,5.3834343066539,2.50318977483436,1.56600481696697,2.90677318212708,2.04561745376556,2.55735895893586,3.07261941402353,3.28257815217974,2.62328077302898,4.39900344097004,4.55520685464834,5.17115361329901,2.98331102609868,4.70002769447664,3.49588930168849,2.13044750176678
