Name,code,individual,day,experiment,treatment
X14.9,exp14.9,14,9,experiment,dark
X15.9,exp15.9,15,9,experiment,dark
X16.9,exp16.9,16,9,experiment,natural
X17.9,exp17.9,17,9,experiment,light
X18.9,exp18.9,18,9,experiment,dark
X19.9,exp19.9,19,9,experiment,dark
X20.9,exp20.9,20,9,experiment,natural
X21.9,exp21.9,21,9,experiment,natural
X22.9,exp22.9,22,9,experiment,dark
X1.10,exp1.10,1,10,experiment,light
X2.10,exp2.10,2,10,experiment,dark
X3.10,exp3.10,3,10,experiment,light
X4.10,exp4.10,4,10,experiment,light
X5.10,exp5.10,5,10,experiment,light
X6.10,exp6.10,6,10,experiment,light
X7.10,exp7.10,7,10,experiment,dark
X8.10,exp8.10,8,10,experiment,natural
X9.10,exp9.10,9,10,experiment,light
X10.10,exp10.10,10,10,experiment,natural
X11.10,exp11.10,11,10,experiment,natural
X12.10,exp12.10,12,10,experiment,light
X13.10,exp13.10,13,10,experiment,dark
X14.10,exp14.10,14,10,experiment,dark
X15.10,exp15.10,15,10,experiment,dark
X16.10,exp16.10,16,10,experiment,natural
X17.10,exp17.10,17,10,experiment,light
X18.10,exp18.10,18,10,experiment,dark
X19.10,exp19.10,19,10,experiment,dark
X20.10,exp20.10,20,10,experiment,natural
X21.10,exp21.10,21,10,experiment,natural
X22.10,exp22.10,22,10,experiment,dark
X1.11,exp1.11,1,11,experiment,light
X2.11,exp2.11,2,11,experiment,dark
X3.11,exp3.11,3,11,experiment,light
X4.11,exp4.11,4,11,experiment,light
X5.11,exp5.11,5,11,experiment,light
X6.11,exp6.11,6,11,experiment,light
X7.11,exp7.11,7,11,experiment,dark
X8.11,exp8.11,8,11,experiment,natural
X9.11,exp9.11,9,11,experiment,light
X10.11,exp10.11,10,11,experiment,natural
X11.11,exp11.11,11,11,experiment,natural
X12.11,exp12.11,12,11,experiment,light
X13.11,exp13.11,13,11,experiment,dark
X14.11,exp14.11,14,11,experiment,dark
X15.11,exp15.11,15,11,experiment,dark
X16.11,exp16.11,16,11,experiment,natural
X17.11,exp17.11,17,11,experiment,light
X18.11,exp18.11,18,11,experiment,dark
X19.11,exp19.11,19,11,experiment,dark
X20.11,exp20.11,20,11,experiment,natural
X21.11,exp21.11,21,11,experiment,natural
X22.11,exp22.11,22,11,experiment,dark
