"wl","X1","X2"
300,0.184061348491195,0.172161916577981
301,0.219658534628979,0.208429159824713
302,0.254045016442155,0.243470187275172
303,0.287198206181616,0.277262684752169
304,0.319095516098251,0.309784338078515
305,0.349714358442954,0.34101283307702
306,0.379032145466614,0.370925855570495
307,0.407026289420125,0.39950109138175
308,0.433674202554375,0.426716226333596
309,0.458953297120259,0.452548946248844
310,0.482840985368665,0.476976936950304
311,0.505314679550487,0.499977884260787
312,0.526351791916615,0.521529474003104
313,0.545929044590723,0.541608085685154
314,0.564066391036328,0.560232922168741
315,0.580806090514083,0.577445904307533
316,0.596190402284644,0.593288952955196
317,0.610261585608667,0.607803988965396
318,0.623061899746804,0.621032933191801
319,0.634633603959712,0.633017706488076
320,0.645018957508044,0.643800229707889
321,0.654260219652457,0.653422423704906
322,0.662399649653604,0.661926209332795
323,0.669479506772141,0.669353507445221
324,0.675542050268722,0.675746238895851
325,0.680629539404001,0.681146324538352
326,0.683973680936202,0.684793503801467
327,0.684934203496979,0.686054067932387
328,0.683745399157133,0.685159765512444
329,0.680641559987467,0.682342345122975
330,0.675856978058783,0.677833555345316
331,0.669625945441883,0.6718651447608
332,0.66218275420757,0.664668861950764
333,0.653761696426645,0.656476455496542
334,0.64459706416991,0.647519673979469
335,0.634923149508168,0.638030265980881
336,0.624974244512221,0.628239980082113
337,0.61498464125287,0.618380564864499
338,0.605188631800919,0.608683768909376
339,0.594181589190452,0.59772255761984
340,0.580688585683423,0.584208478868597
341,0.565138462192441,0.568581154941392
342,0.547960059630115,0.551280208123975
343,0.529582218909053,0.53274526070209
344,0.510433780941863,0.513415934961486
345,0.490943586641153,0.493731853187909
346,0.471540476919533,0.474132637667106
347,0.452653292689611,0.455057910684825
348,0.434710874863994,0.436947294526812
349,0.418142064355292,0.420240411478814
350,0.403375702076112,0.405376883826579
351,0.388991322537572,0.390894679712793
352,0.373444631803973,0.375206187972949
353,0.3569787281177,0.358562661931998
354,0.33983670972114,0.341215354914893
355,0.322261674856677,0.323415520246586
356,0.304496721766698,0.30541441125203
357,0.286784948693587,0.287463281256175
358,0.26936945387973,0.269813383583975
359,0.252493335567513,0.252715971560382
360,0.236399691999322,0.236422298510348
361,0.221331621417542,0.221183617758825
362,0.207532222064558,0.207251182630766
363,0.195244592182757,0.194876246451122
364,0.183802533979282,0.18337392417438
365,0.172436201734941,0.171951307916982
366,0.161233221802618,0.160697616746818
367,0.150281220535192,0.149702069731775
368,0.139667824285545,0.139053885939741
369,0.129480659406559,0.128842284438606
370,0.119807352251115,0.119156484296257
371,0.110735529172094,0.110085704580582
372,0.102352816522379,0.101719164359471
373,0.0947468406548499,0.0941460827008112
374,0.0880052279223886,0.0874556786724911
375,0.0822156046778766,0.081737171342399
376,0.0776189399180728,0.0772315161393397
377,0.0742898688750833,0.0740114853000974
378,0.0720665172548102,0.0719140231045296
379,0.0707870107631556,0.0707760738324941
380,0.0702894751060216,0.0704345817638486
381,0.0704120359893103,0.0707264911784508
382,0.0709928191189237,0.0714887463561582
383,0.0718699502007642,0.0725582915768287
384,0.0728815549407336,0.0737720711203198
385,0.0738657590447342,0.0749670292664893
386,0.0746606882186681,0.0759801102951948
387,0.0751044681684372,0.076648258486294
388,0.0750352245999439,0.0768084181196446
389,0.0749230531753525,0.0769983178413683
390,0.0753036719599091,0.0778046837909794
391,0.0761136402641378,0.0791379564884247
392,0.0772895173985627,0.0809085764536509
393,0.078767862673708,0.0830269842066048
394,0.0804852354000979,0.085403620267233
395,0.0823781948882566,0.0879489251554824
396,0.0843833004487081,0.0905733393912996
397,0.0864371113919767,0.0931873034946314
398,0.0884761870285865,0.0957012579854245
399,0.0904370866690616,0.0980256433836257
400,0.0922563696239263,0.100070900209182
401,0.0934018873037012,0.101425430250595
402,0.093580366286252,0.101912664052366
403,0.0930866786331201,0.101795585268442
