wl;1;2;3;4;5;6
234,498;-0,05;-2,75;3,02;-0,12;-2,52;1,05
234,975;2,43;-1,05;3,72;0,95;-0,56;1,24
235,451;2,5;-0,24;4,02;1,05;0,88;1,23
235,927;2,48;0,15;3,59;1,2;1,11;1,34
236,403;2,39;-0,04;2,35;0,95;0,34;1,46
236,879;1,49;-0,35;0,81;-0,09;0,13;0,81
237,355;1,27;0,05;0,65;-0,47;0,95;0,57
237,831;1,59;0,17;0,95;-0,28;0,88;0,17
238,307;1,56;-0,13;1,15;0,11;0,75;-0,09
238,783;1,41;0,08;1,33;0,5;1,02;0,55
239,258;0,79;-0,27;0,86;-0,37;0,57;0,25
239,734;0,25;-0,51;0,57;-0,77;0,03;-0,32
240,21;-0,48;-0,58;0,31;-0,97;-0,27;-0,45
240,686;-0,96;-0,54;-0,22;-1,1;-0,67;-0,31
241,162;-1,08;-0,67;-0,59;-0,9;-0,73;-0,35
241,638;-0,94;-0,5;-0,55;-0,61;-0,58;-0,33
242,113;-0,63;-0,53;-0,19;-0,28;-0,45;0,03
242,589;-0,47;-0,82;-0,35;-0,05;-0,5;0,16
243,065;-0,52;-0,84;-0,59;0,12;-0,29;0,33
243,54;-0,61;-0,73;-0,72;0,14;0;0,45
244,016;-0,65;-0,88;-0,82;-0,08;-0,13;0,24
244,492;-0,41;-0,79;-0,62;0,19;-0,05;0,18
244,967;-0,03;-0,55;-0,39;0,38;0,24;0,38
245,443;0,13;-0,51;-0,39;0,42;0,13;0,46
245,919;0,37;-0,53;-0,31;0,31;0,04;0,37
246,394;0,57;-0,64;-0,18;0,28;-0,03;0,23
246,87;0,4;-0,76;-0,31;0,24;0,02;0,14
247,345;0,28;-0,61;-0,26;0,43;0,06;0,09
247,821;0,36;-0,39;-0,04;0,41;0,03;0,04
248,296;0,47;-0,27;0,2;0,17;-0,06;0,12
248,771;0,39;-0,06;0,3;0,1;-0,08;0,31
249,247;0,48;0,11;0,34;0,18;-0,1;0,28
249,722;0,44;0,23;0,19;0,24;-0,12;0,34
250,198;0,26;0,2;0,2;0,31;-0,2;0,4
250,673;0,26;0,13;0,29;0,27;-0,21;0,33
251,148;0,23;0,2;0,26;0,35;-0,29;0,29
251,623;0,13;0,21;0,16;0,28;-0,29;0,26
252,099;0,05;0,04;-0,02;0,09;-0,44;0,07
252,574;0,08;-0,12;-0,13;-0,1;-0,56;-0,01
253,049;0,01;-0,09;-0,16;-0,07;-0,5;0,03
253,524;0;-0,05;-0,24;0,16;-0,45;0,1
253,999;0,09;-0,21;-0,28;0,22;-0,54;0
254,475;0,1;-0,29;-0,23;0,34;-0,57;-0,05
254,95;0,1;-0,29;-0,16;0,33;-0,51;-0,06
255,425;0,07;-0,31;-0,2;0,18;-0,5;-0,15
255,9;0,08;-0,27;-0,23;0,09;-0,4;-0,18
