Population,Source_Population,Target_Population,Frog_ID,dS,dL
Liekwegen,L,M,L_indiv_17,2.309559265,0.7875706
Messingberg,M,D,M_indiv_1,3.97760227,5.1596546
Messingberg,M,D,M_indiv_2,6.539700012,4.5093399
Messingberg,M,D,M_indiv_3,2.043901639,5.2181107
Messingberg,M,D,M_indiv_4,3.816250981,6.0083081
Messingberg,M,D,M_indiv_5,4.631879846,3.1969365
Messingberg,M,D,M_indiv_6,2.78953414,3.5238245
Messingberg,M,D,M_indiv_7,4.061248534,3.6795667
Messingberg,M,D,M_indiv_8,1.325583548,2.9118949
Messingberg,M,D,M_indiv_9,3.858216151,4.2320509
Messingberg,M,D,M_indiv_10,1.395194016,3.0376039
Messingberg,M,D,M_indiv_11,1.787547616,2.7700526
Messingberg,M,D,M_indiv_12,1.257873014,2.6202347
Messingberg,M,D,M_indiv_13,1.437389905,2.0010063
Messingberg,M,D,M_indiv_14,0.910554651,3.3737097
Messingberg,M,L,M_indiv_1,5.989138426,0.7019329
Messingberg,M,L,M_indiv_2,9.150605028,0.0457023
Messingberg,M,L,M_indiv_3,4.433385319,0.7673148
Messingberg,M,L,M_indiv_4,1.337948345,1.5800246
Messingberg,M,L,M_indiv_5,3.993683429,1.2482883
Messingberg,M,L,M_indiv_6,5.438875348,0.9285661
Messingberg,M,L,M_indiv_7,6.624130105,0.778172
Messingberg,M,L,M_indiv_8,2.660508478,1.5318841
Messingberg,M,L,M_indiv_9,6.51335519,0.2235357
Messingberg,M,L,M_indiv_10,1.832176325,1.4016699
Messingberg,M,L,M_indiv_11,4.146706487,1.6789963
Messingberg,M,L,M_indiv_12,1.76685926,1.8187875
Messingberg,M,L,M_indiv_13,3.420792553,2.4456651
Messingberg,M,L,M_indiv_14,3.32325257,1.0711624
Messingberg,M,M,M_indiv_1,1.330529866,1.3084041
Messingberg,M,M,M_indiv_2,4.954447891,0.6568781
Messingberg,M,M,M_indiv_3,0.985702023,1.3695857
Messingberg,M,M,M_indiv_4,5.58649723,2.1673673
Messingberg,M,M,M_indiv_5,4.622802508,0.6507258
Messingberg,M,M,M_indiv_6,1.760360671,0.3252638
Messingberg,M,M,M_indiv_7,2.208103495,0.1714151
Messingberg,M,M,M_indiv_8,2.362634885,0.9344307
Messingberg,M,M,M_indiv_9,2.372659488,0.3818303
Messingberg,M,M,M_indiv_10,3.139758282,0.807237
Messingberg,M,M,M_indiv_11,1.083212686,1.0780848
Messingberg,M,M,M_indiv_12,3.219202762,1.224433
Messingberg,M,M,M_indiv_13,1.643891252,1.8463117
Messingberg,M,M,M_indiv_14,1.921465404,0.4729058
