ID,patch1,patch2,dS,dL,group,treatment,individual,day
475,dark,habit10.2,2.936787037,22.1603225,habituation,natural,10,2
35,natural,habit11.2,3.333398936,1.2631424,habituation,natural,11,2
256,light,habit11.2,4.886445755,18.9173327,habituation,natural,11,2
476,dark,habit11.2,3.622001456,16.4803699,habituation,natural,11,2
36,natural,habit12.2,1.892408327,6.3510446,habituation,light,12,2
257,light,habit12.2,3.292234996,13.8294305,habituation,light,12,2
477,dark,habit12.2,2.805936453,21.5682721,habituation,light,12,2
37,natural,habit13.2,2.493614654,7.4912658,habituation,dark,13,2
258,light,habit13.2,3.931715162,12.6892093,habituation,dark,13,2
478,dark,habit13.2,3.287684731,22.7084933,habituation,dark,13,2
38,natural,habit14.2,0.972365619,1.5681371,habituation,dark,14,2
259,light,habit14.2,1.999455439,18.612338,habituation,dark,14,2
479,dark,habit14.2,2.454507156,16.7853646,habituation,dark,14,2
39,natural,habit15.2,4.908246889,8.937213,habituation,dark,15,2
260,light,habit15.2,6.416727504,11.2432621,habituation,dark,15,2
480,dark,habit15.2,5.287025937,24.1544405,habituation,dark,15,2
40,natural,habit16.2,1.501320992,8.2579472,habituation,natural,16,2
261,light,habit16.2,2.806139247,11.9225279,habituation,natural,16,2
481,dark,habit16.2,2.654173194,23.4751748,habituation,natural,16,2
41,natural,habit17.2,3.341702292,17.4850401,habituation,light,17,2
262,light,habit17.2,4.876154679,2.695435,habituation,light,17,2
482,dark,habit17.2,3.631385765,32.7022676,habituation,light,17,2
42,natural,habit18.2,5.184333534,3.6528102,habituation,dark,18,2
263,light,habit18.2,6.718699947,16.5276649,habituation,dark,18,2
483,dark,habit18.2,5.456086238,18.8700377,habituation,dark,18,2
43,natural,habit19.2,3.338783606,3.9920344,habituation,dark,19,2
264,light,habit19.2,4.835890766,16.1884407,habituation,dark,19,2
484,dark,habit19.2,3.834418867,19.2092619,habituation,dark,19,2
44,natural,habit20.2,2.442691968,8.6528244,habituation,natural,20,2
265,light,habit20.2,3.951344463,11.5276507,habituation,natural,20,2
485,dark,habit20.2,3.020953756,23.8700519,habituation,natural,20,2
45,natural,habit21.2,2.970390845,11.6753797,habituation,natural,21,2
266,light,habit21.2,4.347403515,8.5050954,habituation,natural,21,2
486,dark,habit21.2,3.833440673,26.8926072,habituation,natural,21,2
46,natural,habit22.2,3.021078723,11.4256561,habituation,dark,22,2
267,light,habit22.2,4.454536162,8.754819,habituation,dark,22,2
487,dark,habit22.2,3.760677725,26.6428836,habituation,dark,22,2
47,natural,habit1.3,1.915290139,10.3353066,habituation,light,1,3
268,light,habit1.3,3.350714954,9.8451685,habituation,light,1,3
488,dark,habit1.3,2.855622973,25.5525341,habituation,light,1,3
48,natural,habit2.3,1.36348286,8.913754,habituation,dark,2,3
269,light,habit2.3,2.780450117,11.2667211,habituation,dark,2,3
489,dark,habit2.3,2.373802408,24.1309815,habituation,dark,2,3
49,natural,habit3.3,1.143523374,18.0563772,habituation,light,3,3
270,light,habit3.3,2.089920503,2.1240979,habituation,light,3,3
490,dark,habit3.3,2.58439941,33.2736047,habituation,light,3,3
50,natural,habit4.3,1.642810514,13.7517134,habituation,light,4,3
271,light,habit4.3,3.059130493,6.4287618,habituation,light,4,3
491,dark,habit4.3,2.638271971,28.9689409,habituation,light,4,3
51,natural,habit5.3,2.580150314,10.1547958,habituation,light,5,3
272,light,habit5.3,3.995279291,10.0256793,habituation,light,5,3
492,dark,habit5.3,3.429129238,25.3720234,habituation,light,5,3
52,natural,habit6.3,2.553585653,11.1698536,habituation,light,6,3
273,light,habit6.3,4.031637814,9.0106215,habituation,light,6,3
493,dark,habit6.3,3.268359383,26.3870812,habituation,light,6,3
53,natural,habit7.3,1.705609512,8.8897401,habituation,dark,7,3
274,light,habit7.3,3.098432058,11.290735,habituation,dark,7,3
494,dark,habit7.3,2.768644273,24.1069676,habituation,dark,7,3
54,natural,habit8.3,2.06264951,9.7766839,habituation,natural,8,3
275,light,habit8.3,3.532419855,10.4037913,habituation,natural,8,3
495,dark,habit8.3,2.856307102,24.9939114,habituation,natural,8,3
55,natural,habit9.3,1.588785231,3.7825398,habituation,light,9,3
276,light,habit9.3,2.436669788,16.3979353,habituation,light,9,3
496,dark,habit9.3,3.045562066,18.9997673,habituation,light,9,3
56,natural,habit10.3,1.605679816,9.525074,habituation,natural,10,3
277,light,habit10.3,2.860927267,10.6554011,habituation,natural,10,3
497,dark,habit10.3,2.845554289,24.7423015,habituation,natural,10,3
57,natural,habit11.3,2.114983515,8.6506071,habituation,natural,11,3
278,light,habit11.3,3.42147548,11.529868,habituation,natural,11,3
498,dark,habit11.3,3.223040075,23.8678346,habituation,natural,11,3
58,natural,habit12.3,2.255918681,13.4751226,habituation,light,12,3
279,light,habit12.3,3.673980047,6.7053525,habituation,light,12,3
499,dark,habit12.3,3.146308071,28.6923501,habituation,light,12,3
59,natural,habit13.3,4.057118858,7.6023995,habituation,dark,13,3
280,light,habit13.3,5.585551997,12.5780756,habituation,dark,13,3
500,dark,habit13.3,4.432296853,22.819627,habituation,dark,13,3
60,natural,habit14.3,2.062723513,6.4182793,habituation,dark,14,3
281,light,habit14.3,3.48927283,13.7621958,habituation,dark,14,3
501,dark,habit14.3,2.992076526,21.6355068,habituation,dark,14,3
61,natural,habit15.3,3.070999861,12.0421179,habituation,dark,15,3
282,light,habit15.3,4.548024548,8.1383572,habituation,dark,15,3
502,dark,habit15.3,3.704475817,27.2593454,habituation,dark,15,3
62,natural,habit16.3,3.957554409,10.960387,habituation,natural,16,3
283,light,habit16.3,5.408906875,9.2200881,habituation,natural,16,3
503,dark,habit16.3,4.591060205,26.1776146,habituation,natural,16,3
63,natural,habit17.3,2.057381392,17.2953153,habituation,light,17,3
284,light,habit17.3,3.550775625,2.8851598,habituation,light,17,3
504,dark,habit17.3,2.774154656,32.5125428,habituation,light,17,3
64,natural,habit18.3,3.114128201,10.4721603,habituation,dark,18,3
285,light,habit18.3,4.637857734,9.7083148,habituation,dark,18,3
505,dark,habit18.3,3.610749657,25.6893878,habituation,dark,18,3
65,natural,habit19.3,2.317339966,11.8698475,habituation,dark,19,3
286,light,habit19.3,3.702457374,8.3106277,habituation,dark,19,3
506,dark,habit19.3,3.275553142,27.087075,habituation,dark,19,3
66,natural,habit20.3,3.134633436,8.3579879,habituation,natural,20,3
287,light,habit20.3,4.611162388,11.8224872,habituation,natural,20,3
507,dark,habit20.3,3.75771993,23.5752155,habituation,natural,20,3
67,natural,habit21.3,1.665362846,11.7857967,habituation,natural,21,3
288,light,habit21.3,2.850127921,8.3946784,habituation,natural,21,3
508,dark,habit21.3,2.958397523,27.0030242,habituation,natural,21,3
68,natural,habit22.3,3.540479606,10.1120569,habituation,dark,22,3
289,light,habit22.3,5.081669284,10.0684182,habituation,dark,22,3
