"patch1","patch2","dS","dL"
"natural","exp22.8",5.13521979861589,11.6081955
"natural","exp1.9",3.88307928205311,17.2939184
"natural","exp2.9",1.04497788336539,2.9825132
"natural","exp3.9",3.36993554281282,15.2654033
"natural","exp4.9",2.85204690774866,14.3028602
"natural","exp5.9",4.26557875311223,11.4778222
"natural","exp6.9",4.30662708460517,14.4448966
"natural","exp7.9",2.99225248402568,8.3317739
"natural","exp8.9",4.39973892333949,11.6572707
"natural","exp9.9",2.8927075381478,11.5323975
"natural","exp10.9",1.09858193157182,11.6209095
"natural","exp11.9",1.992442456429,6.7665116
"natural","exp12.9",3.41206789586543,12.8913645
"natural","exp13.9",1.73963320170529,11.5406419
"natural","exp14.9",0.707494503752636,4.5467897
"natural","exp15.9",3.08533063335745,11.1481863
"natural","exp16.9",3.22513202779709,9.2232467
"natural","exp17.9",2.02453077250956,17.4771318
"natural","exp18.9",2.55613420937846,4.7222459
"natural","exp19.9",2.97315181445331,9.0954228
"natural","exp20.9",1.62997472179894,9.0003998
"natural","exp21.9",4.54715766444999,12.5405005
"natural","exp22.9",3.63337057540727,11.5194404
"natural","exp1.10",1.0178372342574,19.5733069
"natural","exp2.10",1.86075238297767,5.2588018
"natural","exp3.10",1.0440880742503,18.5682524
"natural","exp4.10",2.13460641598703,16.2855245
"natural","exp5.10",2.38236980081203,15.671337
"natural","exp6.10",1.65920080271945,15.2839889
"natural","exp7.10",1.56611495833,8.1166393
"natural","exp8.10",4.00456452250616,11.012144
"natural","exp9.10",2.86893517710123,14.9695547
"natural","exp10.10",1.21721706161198,8.163952
"natural","exp11.10",1.16828296999486,12.08568
"natural","exp12.10",1.7049110231347,15.1491085
"natural","exp13.10",1.59983355355943,6.7234796
"natural","exp14.10",1.68808562727127,3.2237049
"natural","exp15.10",1.30330086833961,11.2239417
"natural","exp16.10",3.09759181316628,10.7965719
"natural","exp17.10",4.5131338854979,14.4704514
"natural","exp18.10",0.900063727259034,10.539349
"natural","exp19.10",1.11736413803279,2.9747116
"natural","exp20.10",2.89849906907893,13.3625344
"natural","exp21.10",2.54732079674298,12.4662468
"natural","exp22.10",4.20890527680246,11.5473383
"natural","exp1.11",3.26210781788186,12.9547125
"natural","exp2.11",1.05956292238424,2.6267289
"natural","exp3.11",1.3978243837319,20.1697089
"natural","exp4.11",1.06027509919548,14.1409103
"natural","exp5.11",1.21018018474874,15.7993533
"natural","exp6.11",2.89262494705,13.4576491
"natural","exp7.11",1.47698672898212,4.0747885
"natural","exp8.11",1.65731190659886,10.1554899
"natural","exp9.11",2.08743213110132,10.7306204
"natural","exp10.11",0.766258203671971,6.5127195
"natural","exp11.11",0.970685411293814,6.8715773
"natural","exp12.11",1.80153225568956,12.6053906
"natural","exp13.11",1.89729698838683,11.3425092
"natural","exp14.11",1.73795941766933,2.7216989
"natural","exp15.11",1.72615119527488,7.0023337
"natural","exp16.11",1.13300708053712,7.0823823
"natural","exp17.11",1.65926603783812,15.1765694
"natural","exp18.11",2.41142111976343,7.1646605
"natural","exp19.11",1.97727103979747,5.9551183
"natural","exp20.11",1.328673181697,6.9173917
"natural","exp21.11",1.04751115140704,11.9022195
"natural","exp22.11",3.51265008224469,14.0119863
"natural","exp1.14",3.76107638364897,12.1374611
"natural","exp2.14",1.77154982582965,2.2823473
"natural","exp3.14",1.8544690612505,11.7523053
"natural","exp4.14",3.96592371616694,11.421019
"natural","exp5.14",5.08567494826393,13.892181
"natural","exp6.14",2.50460622644989,13.5020815
"natural","exp7.14",2.33421136803587,1.6086879
"natural","exp8.14",4.66272643188918,9.1065543
"natural","exp9.14",2.54562899414165,5.1397812
"natural","exp10.14",0.77684297922258,7.6496917
"natural","exp11.14",1.63928968595741,6.5358468
"natural","exp12.14",3.58939735109343,10.5197829
"natural","exp13.14",2.2601337539079,2.9102357
"natural","exp14.14",1.40910453595132,1.1416863
"natural","exp15.14",4.60036802010918,4.1677756
"natural","exp16.14",3.4323985269165,8.0882282
"natural","exp17.14",4.98001939320969,12.0346934
"natural","exp18.14",1.99204866903608,1.6709272
"natural","exp19.14",1.77177050539597,1.2046352
"natural","exp20.14",2.76135942370072,7.5570762
"natural","exp21.14",4.17375106892598,11.1393045
"natural","exp22.14",1.74251067744551,10.3523248
"light","dark",2.36496600941784,35.3977026
"light","habit1.1",2.49326558773604,11.1782617
"light","habit2.1",1.15398633479662,16.5537991
"light","habit3.1",0.742690446745705,6.9148592
"light","habit4.1",0.82638364048891,18.1679106
"light","habit5.1",1.45383172679106,14.1557958
"light","habit6.1",3.02118751415443,14.2180966
"light","habit7.1",1.21932732007228,11.085133
"light","habit8.1",2.34847753246079,13.9946549
"light","habit9.1",2.11632712508624,19.69672
"light","habit10.1",1.91323471282657,14.1664881
"light","habit11.1",0.720751723085075,18.1935389
"light","habit12.1",3.16784988093068,9.8116309
"light","habit13.1",1.32273834217285,13.1872149
"light","habit14.1",0.938339087715883,13.3605178
"light","habit15.1",2.88099376016419,11.1327852
"light","habit16.1",2.14786468096593,7.9267162
"light","habit17.1",2.90083893785662,5.5359609
"light","habit18.1",1.94804798723092,7.5020109
"light","habit19.1",1.77946872815156,13.5079877
"light","habit20.1",1.07509985680912,10.5754112
"light","habit21.1",2.42329738956932,10.0480979
"light","habit22.1",2.98639663474201,14.3236406
"light","habit1.2",2.80174579432266,13.5537963
"light","habit2.2",1.52504209180288,19.0657986
"light","habit3.2",2.08708072027847,12.831955
"light","habit4.2",2.46143223253544,14.4061815
"light","habit5.2",4.74537646619504,10.4938701
"light","habit6.2",3.80962788867601,10.291589
"light","habit7.2",2.65791793361538,10.1320947
"light","habit8.2",4.94904549737214,9.1554684
"light","habit9.2",2.13552779191962,15.2982643
"light","habit10.2",3.76419601894071,13.2373802
"light","habit11.2",4.88644575482482,18.9173327
"light","habit12.2",3.29223499574593,13.8294305
"light","habit13.2",3.93171516229115,12.6892093
"light","habit14.2",1.99945543853017,18.612338
"light","habit15.2",6.41672750367652,11.2432621
"light","habit16.2",2.80613924676136,11.9225279
"light","habit17.2",4.87615467936026,2.695435
"light","habit18.2",6.71869994748043,16.5276649
"light","habit19.2",4.83589076608873,16.1884407
"light","habit20.2",3.95134446276642,11.5276507
"light","habit21.2",4.34740351520634,8.5050954
"light","habit22.2",4.45453616156524,8.754819
"light","habit1.3",3.35071495437514,9.8451685
"light","habit2.3",2.78045011678313,11.2667211
"light","habit3.3",2.08992050272094,2.1240979
"light","habit4.3",3.05913049331693,6.4287618
"light","habit5.3",3.99527929101763,10.0256793
"light","habit6.3",4.03163781423315,9.0106215
"light","habit7.3",3.09843205846156,11.290735
"light","habit8.3",3.53241985461253,10.4037913
"light","habit9.3",2.43666978811931,16.3979353
"light","habit10.3",2.86092726726384,10.6554011
"light","habit11.3",3.4214754803902,11.529868
"light","habit12.3",3.67398004690625,6.7053525
"light","habit13.3",5.58555199703355,12.5780756
"light","habit14.3",3.48927283003773,13.7621958
"light","habit15.3",4.54802454840325,8.1383572
"light","habit16.3",5.40890687533204,9.2200881
"light","habit17.3",3.55077562475767,2.8851598
"light","habit18.3",4.63785773424652,9.7083148
"light","habit19.3",3.70245737443227,8.3106277
"light","habit20.3",4.61116238842841,11.8224872
"light","habit21.3",2.85012792131091,8.3946784
"light","habit22.3",5.0816692839966,10.0684182
"light","habit1.4",3.99360717602314,9.0005905
"light","habit2.4",3.417025019007,13.0031227
"light","habit3.4",1.91679225312957,8.986359
"light","habit4.4",5.08664110044172,13.9029002
"light","habit5.4",4.24285622913078,8.9010976
"light","habit6.4",4.00772908010266,8.5218417
"light","habit7.4",2.83563500682797,10.8304919
"light","habit8.4",3.99280801986712,7.4644279
"light","habit9.4",4.52451023987841,9.5078296
"light","habit10.4",3.5593395489773,11.7388882
"light","habit11.4",3.48747251706932,13.3168444
"light","habit12.4",4.55894112265112,7.2946341
"light","habit13.4",3.70792751541131,6.919768
"light","habit14.4",3.51333550456695,11.5603192
"light","habit15.4",6.38622761044697,8.8824613
"light","habit16.4",3.94787419131198,9.4244287
"light","habit17.4",3.39046139007565,8.5658558
"light","habit18.4",5.10634760144069,10.5060441
"light","habit19.4",4.99835045586913,9.5783396
"light","habit20.4",5.12358818771021,7.9544403
"light","habit21.4",5.01770645196052,5.9653641
"light","habit22.4",3.47923608739428,4.8778049
"light","exp1.7",4.77302354967687,6.7582037
"light","exp2.7",2.88137904085098,14.5002105
"light","exp3.7",4.2004730817451,2.6566816
"light","exp4.7",4.80712774733889,6.2334473
"light","exp5.7",2.1436047639965,1.267988
"light","exp6.7",2.83402262118552,3.5071265
"light","exp7.7",3.64157724095146,5.3576906
"light","exp8.7",2.94037305626979,4.7769986
"light","exp9.7",4.59377948845055,6.9292735
"light","exp10.7",1.69663182308452,8.7127649
"light","exp11.7",4.7628467809588,7.9371072
"light","exp12.7",2.70981648966745,4.7445481
"light","exp13.7",3.01681064713675,7.2890925
"light","exp14.7",2.62025060904909,10.1718425
"light","exp15.7",7.36296155890931,9.3495794
"light","exp16.7",5.28281907266306,12.1763455
"light","exp17.7",4.195601991905,3.9808388
"light","exp18.7",3.17678930741113,13.3418313
"light","exp19.7",3.86203506339123,8.2695534
"light","exp20.7",4.6115165015095,13.3892586
"light","exp21.7",5.96871276311837,5.3570885
"light","exp22.7",5.7390179348806,9.628572
"light","exp1.8",4.24556310877408,4.014546
"light","exp2.8",2.48472879910596,13.4026821
"light","exp3.8",3.33704145103435,3.7328956
"light","exp4.8",4.59711143623825,8.1911458
"light","exp5.8",5.47004232591327,5.1776839
"light","exp6.8",2.62181856750808,4.1909509
"light","exp7.8",3.98871430256921,10.1815585
"light","exp8.8",5.19239418291682,9.3499821
"light","exp9.8",4.905440218199,5.7894354
"light","exp10.8",2.53042807391081,11.1224369
"light","exp11.8",3.61364394693179,13.7763378
"light","exp12.8",3.60766169540491,4.5657937
"light","exp13.8",4.90253876513156,10.5096204
"light","exp14.8",3.1824282148592,10.5822642
"light","exp15.8",4.37052529899048,6.7770239
"light","exp16.8",6.09539510969561,12.1003851
"light","exp17.8",5.00083423226635,4.3185074
"light","exp18.8",7.70326672030285,20.6753653
"light","exp19.8",3.59938599167739,13.2122372
"light","exp20.8",5.19629580352364,9.7371679
"light","exp21.8",4.27259208593958,8.6138452
"light","exp22.8",6.66949167252589,8.5722796
"light","exp1.9",5.37943675217746,2.8865567
"light","exp2.9",1.1090344692829,17.1979619
"light","exp3.9",4.86279189554026,4.9150718
"light","exp4.9",4.3062032318081,5.8776149
"light","exp5.9",5.77836140827477,8.702653
"light","exp6.9",5.84095547914432,5.7355785
"light","exp7.9",4.44050192493309,11.8487012
"light","exp8.9",5.87594329627481,8.5232044
"light","exp9.9",4.35992037829792,8.6480776
"light","exp10.9",2.00424632400542,8.5595656
"light","exp11.9",3.44050809685175,13.4139635
"light","exp12.9",4.93052529035458,7.2891106
"light","exp13.9",3.08963412756322,8.6398332
"light","exp14.9",1.6776642036955,15.6336854
"light","exp15.9",4.47324768022987,9.0322888
"light","exp16.9",4.6749839194947,10.9572284
"light","exp17.9",3.49772259284533,2.7033433
"light","exp18.9",3.98981244022103,15.4582292
"light","exp19.9",4.37691405068057,11.0850523
"light","exp20.9",2.94638805419549,11.1800753
"light","exp21.9",5.99896652311384,7.6399746
"light","exp22.9",5.05114139670797,8.6610347
"light","exp1.10",2.23555926408884,0.6071682
"light","exp2.10",0.622148504656797,14.9216733
"light","exp3.10",2.12047266841824,1.6122227
"light","exp4.10",3.54714648245377,3.8949506
"light","exp5.10",3.86341606468379,4.5091381
"light","exp6.10",3.17596648135805,4.8964862
"light","exp7.10",2.73367752963597,12.0638358
"light","exp8.10",5.3454190765752,9.1683311
"light","exp9.10",4.32525860192157,5.2109204
"light","exp10.10",2.16596702694211,12.0165231
"light","exp11.10",1.65873069856719,8.0947951
"light","exp12.10",3.1603631952442,5.0313666
"light","exp13.10",2.73841877548295,13.4569955
"light","exp14.10",2.13906799992622,16.9567702
"light","exp15.10",2.27516243711411,8.9565334
"light","exp16.10",4.47452147735381,9.3839032
"light","exp17.10",6.04083330765125,5.7100237
"light","exp18.10",1.33110836055272,9.6411261
"light","exp19.10",1.64436644587984,17.2057635
"light","exp20.10",4.34989075089687,6.8179407
"light","exp21.10",3.8538206019937,7.7142283
"light","exp22.10",5.6641551497041,8.6331368
"light","exp1.11",4.73042079184164,7.2257626
"light","exp2.11",1.57163662985898,17.5537462
"light","exp3.11",1.09493297555519,0.0107662
"light","exp4.11",2.33104636359933,6.0395648
"light","exp5.11",2.60748151415096,4.3811218
"light","exp6.11",4.38669156291515,6.722826
"light","exp7.11",2.73821255791615,16.1056866
"light","exp8.11",1.05875497993293,10.0249852
"light","exp9.11",3.5022166871024,9.4498547
"light","exp10.11",1.69027833889377,13.6677556
