"wl","X1.14","X2.14","X3.14","X4.14","X5.14","X6.14","X7.14","X8.14","X9.14","X10.14","X11.14","X12.14","X13.14","X14.14","X15.14","X16.14","X17.14","X18.14","X19.14","X20.14","X21.14","X22.14"
300,0.16871971313424,2.46180401366693,2.30811340118297,0.818743651201297,0.316844931689493,1.43946172617567,1.26066660423181,1.01791490943036,0.910708860169504,2.71312400658591,1.88980711548235,0.651635205777592,0.948253334961798,0.810188745280716,0.666230600493245,1.71773488199418,0.555706830854455,0.963570827449272,1.21070868011422,1.84565465616102,1.74696820402433,5.65651509031138
301,0.261479047807086,2.48713441025886,2.41903478872933,0.900526131276983,0.42040283557107,1.57453349478793,1.28926723829613,1.06786380827285,0.968727910921948,2.75668717750807,1.92670422024627,0.740082626334757,0.989438657843536,0.841268556675977,0.69985657777245,1.74654935726027,0.624171286542998,0.991594282950033,1.23681255391364,1.87824225527447,1.80095922769381,5.69343988478163
302,0.38960992829195,2.51180238594484,2.52712802503969,0.980417849787385,0.522274916426548,1.70657605346353,1.31702623885977,1.11661214488389,1.02521913958141,2.79911735991673,1.96275228621256,0.826436426281447,1.02954555679234,0.871554140349301,0.732638888622119,1.77458084311677,0.691146983293592,1.01894489777405,1.26220770809865,1.90987333281026,1.85348852006464,5.72943716511093
303,0.52890829874273,2.53581047828354,2.63240720807614,1.05842449720712,0.621843742432737,1.83560304821474,1.34393243128124,1.16416214817099,1.08017896824396,2.84040868837635,1.99795891840442,0.910709429522327,1.06857066388411,0.90104062887219,0.764584289142716,1.80183349328153,0.756652684494156,1.04563320512905,1.28688935250738,1.94054279725979,1.90455137078594,5.76450260922323
304,0.664616058197304,2.55916122483365,2.73488643580076,1.1345517640108,0.719131195631895,1.96162812505381,1.36997464091902,1.21051604704171,1.13360381900563,2.88055529745141,2.032331721845,0.992914459962066,1.10651061119475,0.929723154816146,0.795699535434711,1.82831146147242,0.820707153532606,1.07166973822277,1.31085269697795,1.97024555711446,1.95414306950683,5.79863189504247
305,0.796740434937273,2.58185716315383,2.83457980617564,1.20880534067306,0.814159158066284,2.08466492999302,1.39514169313161,1.25567607040359,1.18549011396249,2.91955132170638,2.06587830155748,1.07306434150533,1.14336203080017,0.957596850752669,0.825991383598569,1.85401890140727,0.88332915379686,1.09706503026296,1.33409295134849,1.99897652086568,2.00225890587643,5.83182070049259
306,0.925288657244237,2.60390083080278,2.93150141716287,1.28119091766849,0.906949511778162,2.20472710904463,1.41942241327752,1.29964444716415,1.23583427521059,2.95739089570572,2.09860626256504,1.15117189805679,1.17912155477625,0.984656849253262,0.855466589734759,1.87895996680395,0.944537448674833,1.12182961445733,1.35660532545713,2.02673059700485,2.04889416954386,5.86406470349755
307,1.0502679533998,2.62529476533915,3.02566536672452,1.35171418547173,0.99752413880979,2.3218283082209,1.44280562671525,1.34242340623093,1.28463272484599,2.99406815401392,2.13052320989085,1.2272499535211,1.21378581519892,1.01089828288942,0.884131909943747,1.9031388113803,1.00435080155444,1.14597402401364,1.37838502914198,2.05350269402336,2.09404415015825,5.89535958198127
308,1.17168555168556,2.64604150432164,3.1170857528227,1.42038083455739,1.08590492120343,2.43598217353411,1.46528015880328,1.38401517651148,1.33188188496474,3.02957723119545,2.16163674855809,1.30131133180295,1.24735144414405,1.03631628423266,0.911994100326,1.92655958885417,1.06278797582361,1.16950879213962,1.39942727224119,2.07928772041263,2.13770413736872,5.92570101386773
309,1.28954868038311,2.66614358530891,3.20577667341947,1.48719655540008,1.17211374100133,2.54720235099651,1.48683483490012,1.42442198691334,1.3775781776629,3.06391226181476,2.19195448358993,1.37336885680698,1.27981507368757,1.06090598585446,0.939059916981985,1.94922645294342,1.11986773487025,1.19244445204299,1.41972726459287,2.10408058466405,2.17986942082438,5.95508467708085
310,1.40386456777406,2.68560354585965,3.29175222647694,1.55216703847443,1.25617248024577,2.65550248662037,1.50745848036427,1.46364606634403,1.42171802503651,3.09706738043635,2.22148402000954,1.44343535243788,1.31117333590537,1.08466252032634,0.96533611601217,1.97114355736591,1.17560884208227,1.21479153693151,1.43928021603515,2.12787619526902,2.22053529017436,5.98350624954458
311,1.51464044214001,2.70442392353253,3.37502650995717,1.61529797425504,1.338103020979,2.76089622641796,1.52713992055423,1.50168964371111,1.46429784918165,3.12903672162467,2.25023296284009,1.5115236426003,1.34142286287334,1.1075810202198,0.990829453517021,1.99231505583947,1.2300300608476,1.23656058001289,1.45808133640616,2.15066946071895,2.25969703506778,6.01096140918287
312,1.62188353176256,2.72260725588622,3.45561362182227,1.67659505321655,1.41792724524327,2.86339721640155,1.54586798082849,1.5385549479221,1.50531407219435,3.15981441994419,2.27820891710477,1.57764655119892,1.37056028666741,1.12965661810633,1.01554668559701,2.01274510208197,1.28315015455416,1.25776211449489,1.47612583554402,2.17245528950524,2.29734994515377,6.03744583391967
